customer_id,age,income,income_band,employment_type,region,signup_date
86999,,22000.0,<25k,< 1 year,Northeast,2007-06-01
107671,,20000.0,<25k,< 1 year,Northeast,2007-07-01
98991,,125000.0,100k+,10+ years,Northeast,2007-07-01
112227,,40000.0,25k-50k,6 years,Midwest,2007-07-01
109346,,20000.0,<25k,< 1 year,Northeast,2007-07-01
107130,,60000.0,50k-75k,3 years,South,2007-07-01
106333,,52200.0,50k-75k,1 year,Northeast,2007-07-01
76583,,250000.0,100k+,1 year,Northeast,2007-07-01
106039,,13500.0,<25k,< 1 year,South,2007-07-01
90962,,150000.0,100k+,8 years,South,2007-07-01
92423,,95000.0,75k-100k,7 years,Northeast,2007-07-01
95212,,48000.0,25k-50k,2 years,Northeast,2007-07-01
100083,,27376.0,25k-50k,< 1 year,West,2007-07-01
98957,,73000.0,50k-75k,1 year,South,2007-07-01
97572,,32000.0,25k-50k,4 years,Midwest,2007-07-01
89243,,200000.0,100k+,< 1 year,South,2007-07-01
95222,,74000.0,50k-75k,7 years,Midwest,2007-07-01
90390,,100000.0,100k+,< 1 year,Northeast,2007-07-01
90607,,18000.0,<25k,3 years,South,2007-07-01
92174,,110000.0,100k+,4 years,West,2007-07-01
98268,,8000.0,<25k,< 1 year,South,2007-07-01
92502,,85000.0,75k-100k,1 year,Midwest,2007-07-01
92529,,80000.0,75k-100k,< 1 year,Midwest,2007-07-01
92390,,75000.0,75k-100k,5 years,West,2007-07-01
92661,,180000.0,100k+,2 years,Midwest,2007-07-01
92671,,180000.0,100k+,< 1 year,Midwest,2007-07-01
93057,,120000.0,100k+,8 years,Northeast,2007-07-01
93254,,25000.0,25k-50k,< 1 year,Northeast,2007-07-01
73673,,200000.0,100k+,2 years,Northeast,2007-07-01
96338,,30000.0,25k-50k,1 year,South,2007-07-01
92542,,48000.0,25k-50k,4 years,South,2007-07-01
121423,,125000.0,100k+,10+ years,West,2007-08-01
119040,,40000.0,25k-50k,2 years,South,2007-08-01
118760,,40000.0,25k-50k,< 1 year,Northeast,2007-08-01
119635,,70000.0,50k-75k,< 1 year,Northeast,2007-08-01
120227,,18000.0,<25k,1 year,South,2007-08-01
121527,,50000.0,50k-75k,9 years,West,2007-08-01
104675,,61800.0,50k-75k,1 year,Northeast,2007-08-01
121574,,100000.0,100k+,< 1 year,West,2007-08-01
121808,,62000.0,50k-75k,5 years,South,2007-08-01
120407,,35000.0,25k-50k,1 year,Northeast,2007-08-01
118026,,32000.0,25k-50k,< 1 year,Midwest,2007-08-01
122713,,90000.0,75k-100k,1 year,Northeast,2007-08-01
80353,,15000.0,<25k,< 1 year,Northeast,2007-08-01
121373,,120000.0,100k+,< 1 year,Northeast,2007-08-01
117783,,75000.0,75k-100k,< 1 year,Midwest,2007-08-01
122398,,60000.0,50k-75k,1 year,Northeast,2007-08-01
117849,,48000.0,25k-50k,3 years,South,2007-08-01
118519,,213000.0,100k+,9 years,South,2007-08-01
105982,,75000.0,75k-100k,9 years,South,2007-08-01
111912,,60000.0,50k-75k,1 year,Midwest,2007-08-01
100208,,45000.0,25k-50k,< 1 year,Midwest,2007-08-01
106279,,65000.0,50k-75k,1 year,Northeast,2007-08-01
112493,,36153.0,25k-50k,2 years,Midwest,2007-08-01
113146,,98000.0,75k-100k,5 years,Northeast,2007-08-01
111223,,145000.0,100k+,6 years,South,2007-08-01
113115,,78000.0,75k-100k,1 year,Northeast,2007-08-01
70699,,200000.0,100k+,4 years,Northeast,2007-08-01
116037,,130000.0,100k+,3 years,Northeast,2007-08-01
