loan_id,customer_id,loan_type,loan_amount,interest_rate,term_months,origination_date,loan_status
1077501,1296599,credit_card,5000,10.65,36,2011-12-01,ACTIVE
1077430,1314167,car,2500,15.27,60,2011-12-01,DEFAULTED
1077175,1313524,small_business,2400,15.96,36,2011-12-01,ACTIVE
1076863,1277178,other,10000,13.49,36,2011-12-01,ACTIVE
1075358,1311748,other,3000,12.69,60,2011-12-01,ACTIVE
1075269,1311441,wedding,5000,7.9,36,2011-12-01,ACTIVE
1069639,1304742,debt_consolidation,7000,15.96,60,2011-12-01,ACTIVE
1072053,1288686,car,3000,18.64,36,2011-12-01,ACTIVE
1071795,1306957,small_business,5600,21.28,60,2011-12-01,DEFAULTED
1071570,1306721,other,5375,12.69,60,2011-12-01,DEFAULTED
1070078,1305201,debt_consolidation,6500,14.65,60,2011-12-01,ACTIVE
1069908,1305008,debt_consolidation,12000,12.69,36,2011-12-01,ACTIVE
1064687,1298717,debt_consolidation,9000,13.49,36,2011-12-01,DEFAULTED
1069866,1304956,credit_card,3000,9.91,36,2011-12-01,ACTIVE
1069057,1303503,other,10000,10.65,36,2011-12-01,DEFAULTED
1069759,1304871,debt_consolidation,1000,16.29,36,2011-12-01,ACTIVE
1065775,1299699,home_improvement,10000,15.27,36,2011-12-01,ACTIVE
1069971,1304884,major_purchase,3600,6.03,36,2011-12-01,ACTIVE
1062474,1294539,medical,6000,11.71,36,2011-12-01,ACTIVE
1069742,1304855,debt_consolidation,9200,6.03,36,2011-12-01,ACTIVE
1069740,1284848,debt_consolidation,20250,15.27,60,2011-12-01,ACTIVE
1039153,1269083,debt_consolidation,21000,12.42,36,2011-12-01,DEFAULTED
1069710,1304821,credit_card,10000,11.71,36,2011-12-01,ACTIVE
1069700,1304810,debt_consolidation,10000,11.71,36,2011-12-01,ACTIVE
1069559,1304634,major_purchase,6000,11.71,36,2011-12-01,DEFAULTED
1069697,1273773,credit_card,15000,9.91,36,2011-12-01,ACTIVE
1069800,1304679,debt_consolidation,15000,14.27,36,2011-12-01,DEFAULTED
1069657,1304764,other,5000,16.77,60,2011-12-01,DEFAULTED
1069799,1304678,debt_consolidation,4000,11.71,36,2011-12-01,ACTIVE
1047704,1278806,credit_card,8500,11.71,36,2011-12-01,ACTIVE
1032111,1261745,debt_consolidation,4375,7.51,36,2011-12-01,ACTIVE
1069539,1304608,debt_consolidation,31825,7.9,36,2011-12-01,ACTIVE
1065420,1299514,debt_consolidation,10000,15.96,60,2011-12-01,ACTIVE
1069591,1304289,debt_consolidation,5000,8.9,36,2011-12-01,ACTIVE
1069530,1291365,credit_card,7000,15.96,36,2011-12-01,ACTIVE
1069522,1304589,credit_card,12400,10.65,36,2011-12-01,ACTIVE
1069361,1304255,moving,10800,9.91,36,2011-12-01,ACTIVE
1069357,1304251,debt_consolidation,15000,7.9,36,2011-12-01,ACTIVE
1069356,1304250,debt_consolidation,6000,12.42,36,2011-12-01,ACTIVE
1069346,1304237,debt_consolidation,12500,12.69,60,2011-12-01,ACTIVE
1067573,1301955,other,9600,7.51,36,2011-12-01,ACTIVE
1069506,1304567,debt_consolidation,12000,7.9,36,2011-12-01,ACTIVE
1069314,1304202,other,3000,18.25,36,2011-12-01,ACTIVE
1060578,1292332,debt_consolidation,4400,16.77,36,2011-12-01,ACTIVE
1069469,1304526,debt_consolidation,6000,6.03,36,2011-12-01,ACTIVE
1051117,1282787,small_business,14000,9.91,36,2011-12-01,ACTIVE
1069465,1304521,debt_consolidation,5000,8.9,36,2011-12-01,DEFAULTED
1069283,1304166,other,10000,10.65,36,2011-12-01,ACTIVE
1069287,1304171,credit_card,10000,6.03,36,2011-12-01,ACTIVE
1069453,1303701,debt_consolidation,11000,6.62,36,2011-12-01,ACTIVE
1069248,1304123,debt_consolidation,15000,9.91,36,2011-12-01,DEFAULTED
1068120,1302485,credit_card,25600,9.91,36,2011-12-01,ACTIVE
1069244,1304117,debt_consolidation,7000,10.65,36,2011-12-01,ACTIVE
1069243,1304116,car,12000,15.96,36,2011-12-01,DEFAULTED
1069238,1303909,credit_card,12000,9.91,36,2011-12-01,ACTIVE
1069410,1303652,debt_consolidation,21000,19.91,60,2011-12-01,DEFAULTED
1068409,1302790,credit_card,16000,19.91,60,2011-12-01,ACTIVE
1068487,1302882,debt_consolidation,10000,12.42,36,2011-12-01,ACTIVE
1043961,1274517,credit_card,10000,10.65,36,2011-12-01,ACTIVE
1068945,1287308,debt_consolidation,7100,16.77,36,2011-12-01,ACTIVE
1069142,1287810,debt_consolidation,13000,12.69,60,2011-12-01,ACTIVE
1068934,1277395,small_business,17500,17.27,60,2011-12-01,ACTIVE
1069136,1278095,debt_consolidation,17675,14.65,60,2011-12-01,ACTIVE
1068923,1303549,debt_consolidation,8000,16.77,36,2011-12-01,ACTIVE
1069126,1303778,debt_consolidation,10000,10.65,60,2011-12-01,DEFAULTED
1069102,1303750,debt_consolidation,3500,10.65,36,2011-12-01,ACTIVE
1069093,1303740,debt_consolidation,12500,17.27,60,2011-12-01,DEFAULTED
1069030,1303473,debt_consolidation,16425,14.27,36,2011-12-01,ACTIVE
1068906,1303528,small_business,8200,21.28,60,2011-12-01,DEFAULTED
1069073,1303718,credit_card,15000,14.65,36,2011-12-01,ACTIVE
1069043,1303486,credit_card,20975,17.58,60,2011-12-01,ACTIVE
1060981,1292558,debt_consolidation,6400,16.77,36,2011-12-01,DEFAULTED
1069071,1303716,debt_consolidation,3000,13.49,36,2011-12-01,ACTIVE
1069070,1299004,credit_card,12000,16.77,36,2011-12-01,ACTIVE
1068893,1303514,debt_consolidation,14400,8.9,36,2011-12-01,ACTIVE
1068882,1303303,debt_consolidation,12000,14.65,36,2011-12-01,ACTIVE
1069039,1303482,debt_consolidation,11000,13.49,36,2011-12-01,ACTIVE
1068416,1302799,debt_consolidation,7250,21.67,60,2011-12-01,ACTIVE
1068997,1303437,small_business,15000,7.9,36,2011-12-01,ACTIVE
1048390,1279714,debt_consolidation,18000,19.91,60,2011-12-01,ACTIVE
1068994,1303432,home_improvement,35000,17.27,60,2011-12-01,ACTIVE
1068475,1302869,credit_card,10000,14.27,36,2011-12-01,ACTIVE
1068989,1282013,credit_card,11800,12.69,36,2011-12-01,ACTIVE
1068967,1303403,major_purchase,4500,6.03,36,2011-12-01,ACTIVE
1068744,1303379,credit_card,7000,12.69,36,2011-12-01,ACTIVE
1045509,1276120,debt_consolidation,9200,12.42,36,2011-12-01,ACTIVE
1063958,1297940,other,14000,17.27,60,2011-12-01,ACTIVE
1041756,1272024,car,4500,10.65,60,2011-12-01,ACTIVE
1068694,1303326,debt_consolidation,12000,16.29,36,2011-12-01,ACTIVE
1068792,1303200,debt_consolidation,12000,13.49,36,2011-12-01,ACTIVE
1068558,1303163,credit_card,12000,10.65,36,2011-12-01,ACTIVE
1068322,1302938,credit_card,7000,10.65,36,2011-12-01,ACTIVE
1065674,1299785,debt_consolidation,8200,19.42,60,2011-12-01,ACTIVE
1068547,1303150,medical,10500,12.69,36,2011-12-01,ACTIVE
1068545,1303147,debt_consolidation,7000,11.71,36,2011-12-01,ACTIVE
1068575,1303001,credit_card,15300,22.06,60,2011-12-01,ACTIVE
1049528,1280928,debt_consolidation,20000,11.71,60,2011-12-01,ACTIVE
1068542,1303143,credit_card,17500,17.27,60,2011-12-01,DEFAULTED
1068350,1302971,car,3500,6.03,36,2011-12-01,ACTIVE
1067874,1302235,major_purchase,6000,12.69,60,2011-12-01,ACTIVE
1068509,1302907,debt_consolidation,6200,9.91,36,2011-12-01,DEFAULTED
1034693,1264291,debt_consolidation,16000,17.58,60,2011-12-01,ACTIVE
1068508,1302906,debt_consolidation,6000,8.9,36,2011-12-01,ACTIVE
1066641,1300833,credit_card,7200,9.91,36,2011-12-01,ACTIVE
1068315,1302930,credit_card,9500,8.9,36,2011-12-01,ACTIVE
1068309,1302924,debt_consolidation,18825,16.77,60,2011-12-01,DEFAULTED
1068326,1302942,debt_consolidation,24000,10.65,36,2011-12-01,ACTIVE
1066767,1300950,debt_consolidation,6000,13.49,36,2011-12-01,ACTIVE
1068484,1302879,debt_consolidation,6000,13.49,36,2011-12-01,ACTIVE
1068292,1302706,vacation,2100,12.42,36,2011-12-01,ACTIVE
1068273,1302680,small_business,5500,6.62,36,2011-12-01,ACTIVE
1068274,1302681,debt_consolidation,11000,6.62,36,2011-12-01,ACTIVE
1068440,1302831,debt_consolidation,26800,20.89,60,2011-12-01,ACTIVE
1046456,1277297,debt_consolidation,8000,12.69,36,2011-12-01,ACTIVE
1068012,1302365,credit_card,10000,18.25,36,2011-12-01,DEFAULTED
1055725,1287293,credit_card,8000,11.71,36,2011-12-01,ACTIVE
1061814,1293438,debt_consolidation,10000,8.9,36,2011-12-01,ACTIVE
1068232,1302622,debt_consolidation,12000,11.71,36,2011-12-01,ACTIVE
1068405,1302785,debt_consolidation,10000,7.9,36,2011-12-01,ACTIVE
1068395,1302773,debt_consolidation,12000,9.91,36,2011-12-01,ACTIVE
1068202,1302588,credit_card,25000,13.49,60,2011-12-01,DEFAULTED
1068006,1302360,debt_consolidation,19750,10.65,36,2011-12-01,DEFAULTED
1068075,1302430,debt_consolidation,10000,9.91,36,2011-12-01,ACTIVE
1065642,1299748,debt_consolidation,13650,12.42,36,2011-12-01,ACTIVE
1068179,1302564,debt_consolidation,28000,19.91,60,2011-12-01,DEFAULTED
1068158,1302728,debt_consolidation,18000,7.9,36,2011-12-01,ACTIVE
1068180,1302565,debt_consolidation,2500,14.27,36,2011-12-01,ACTIVE
1065673,1299784,credit_card,21000,20.3,60,2011-12-01,ACTIVE
1068159,1302729,debt_consolidation,35000,8.9,36,2011-12-01,ACTIVE
1068165,1302549,credit_card,10000,7.51,36,2011-12-01,ACTIVE
1059689,1291305,credit_card,7000,12.69,36,2011-12-01,ACTIVE
1066215,1300572,home_improvement,24000,15.96,36,2011-12-01,DEFAULTED
1063270,1295780,medical,10625,7.51,36,2011-12-01,ACTIVE
1067931,1302311,debt_consolidation,5000,14.65,36,2011-12-01,ACTIVE
1067922,1302299,credit_card,8850,6.62,36,2011-12-01,ACTIVE
1067919,1302295,debt_consolidation,6375,7.51,36,2011-12-01,ACTIVE
1068106,1302467,credit_card,6000,11.71,36,2011-12-01,ACTIVE
1068111,1302472,credit_card,11100,6.62,36,2011-12-01,DEFAULTED
1067655,1302044,debt_consolidation,10000,12.69,60,2011-12-01,ACTIVE
1060662,1292431,small_business,6200,6.03,36,2011-12-01,ACTIVE
1061304,1293317,debt_consolidation,15000,18.64,36,2011-12-01,ACTIVE
1068095,1302453,other,4200,11.71,36,2011-12-01,ACTIVE
1067182,1301537,debt_consolidation,14000,14.27,36,2011-12-01,ACTIVE
822464,1030901,debt_consolidation,8875,7.51,36,2011-12-01,ACTIVE
1063526,1296092,debt_consolidation,13500,9.91,36,2011-12-01,ACTIVE
1068091,1302450,debt_consolidation,12000,9.91,36,2011-12-01,DEFAULTED
1068090,1302449,debt_consolidation,16000,19.91,60,2011-12-01,ACTIVE
1068082,1270159,debt_consolidation,21600,19.42,60,2011-12-01,ACTIVE
1068078,1302434,home_improvement,6000,10.65,36,2011-12-01,ACTIVE
1057633,1289398,debt_consolidation,8450,16.77,60,2011-12-01,ACTIVE
1046204,1276836,credit_card,20000,13.49,60,2011-12-01,ACTIVE
1067794,1302151,debt_consolidation,10000,11.71,36,2011-12-01,DEFAULTED
1067816,1302174,credit_card,12000,16.29,36,2011-12-01,ACTIVE
1068018,1302371,credit_card,13475,13.49,60,2011-12-01,DEFAULTED
1052996,1284571,major_purchase,7200,12.42,36,2011-12-01,ACTIVE
1067818,1247741,debt_consolidation,5600,14.65,36,2011-12-01,DEFAULTED
1064842,1298688,debt_consolidation,12000,14.27,36,2011-12-01,ACTIVE
1067109,1301487,credit_card,8500,6.03,36,2011-12-01,ACTIVE
1067971,1302322,credit_card,8000,9.91,36,2011-12-01,ACTIVE
1057518,1289083,credit_card,8000,12.42,36,2011-12-01,ACTIVE
1067473,1301868,debt_consolidation,16000,15.27,60,2011-12-01,ACTIVE
1062177,1294027,house,15000,17.27,36,2011-12-01,ACTIVE
1067447,1301839,debt_consolidation,10000,9.91,36,2011-12-01,ACTIVE
1059412,1291030,credit_card,10000,6.62,36,2011-12-01,ACTIVE
1062608,1294481,car,8000,14.65,36,2011-12-01,ACTIVE
1067664,1302055,debt_consolidation,22000,9.91,36,2011-12-01,ACTIVE
1067441,1301833,car,6000,14.27,36,2011-12-01,ACTIVE
1067654,1302043,debt_consolidation,16000,9.91,60,2011-12-01,ACTIVE
1067644,1302032,debt_consolidation,2500,7.51,36,2011-12-01,DEFAULTED
1062288,1294350,credit_card,13500,9.91,36,2011-12-01,ACTIVE
1067434,1301822,debt_consolidation,25000,12.42,36,2011-12-01,ACTIVE
1067419,1301804,small_business,10000,13.49,36,2011-12-01,ACTIVE
1067601,1301984,debt_consolidation,2500,13.49,36,2011-12-01,ACTIVE
1067579,1301961,debt_consolidation,7325,12.69,36,2011-12-01,ACTIVE
1067563,1301944,credit_card,4000,12.42,36,2011-12-01,ACTIVE
1067364,1301744,small_business,10000,13.49,36,2011-12-01,DEFAULTED
1067152,1301933,debt_consolidation,7750,17.27,36,2011-12-01,DEFAULTED
1062471,1294536,debt_consolidation,20000,20.89,60,2011-12-01,DEFAULTED
1066842,1301036,debt_consolidation,9600,12.42,36,2011-12-01,ACTIVE
1067126,1301506,debt_consolidation,21000,11.71,60,2011-12-01,DEFAULTED
1067326,1301703,credit_card,14000,10.65,36,2011-12-01,ACTIVE
1066789,1300973,debt_consolidation,13350,12.42,36,2011-12-01,ACTIVE
1067324,1301699,debt_consolidation,15000,16.77,36,2011-12-01,DEFAULTED
